trade_index,equity
0,1.0137301923167352
1,1.0577087144338408
2,1.0921200986511759
3,1.104436496936866
4,1.1398014329790036
5,1.1917573308796228
6,1.210998672275994
7,1.2300333425683123
8,1.2567000092349785
9,1.2896670422020116
10,1.338172164510186
11,1.3646403200105999
12,1.3725902648026502
13,1.4116203667687914
14,1.4322730701297268
15,1.4656473032585615
16,1.4832459407833984
17,1.5166012183783075
18,1.5286785130642977
19,1.5539252732872213
20,1.5756923885593102
21,1.5873345045805505
22,1.6180926011971597
23,1.6556491875717199
24,1.6845132471620365
25,1.724392681430527
26,1.7444954164020667
